Provinsi;Fasilitas Pendidikan;Total
Aceh;SD;3945
Sumatera Utara;SD;9756
Sumatera Barat;SD;4225
Riau;SD;3714
Jambi;SD;2452
Sumatera Selatan;SD;4691
Bengkulu;SD;1391
Lampung;SD;4726
Bangka Belitung;SD;822
Kepulauan Riau;SD;963
Jakarta Raya;SD;2491
Jawa Barat;SD;19577
Jawa Tengah;SD;18869
Yogyakarta;SD;1841
Jawa Timur;SD;19092
Banten;SD;4643
Bali ;SD;2441
Nusa Tenggara Barat;SD;3234
Nusa Tenggara Timur;SD;5158
Kalimantan Barat;SD;4405
Kalimantan Tengah;SD;2628
Kalimantan Selatan;SD;2929
Kalimantan Timur;SD;1895
Kalimantan Utara;SD;479
Sulawesi Utara;SD;2215
Sulawesi Tengah;SD;2909
Sulawesi Selatan;SD;6392
Sulawesi Tenggara;SD;2324
Gorontalo;SD;923
Sulawesi Barat;SD;1325
Maluku;SD;1793
Maluku Utara;SD;1310
Papua Barat;SD;1072
Papua;SD;2563
Aceh;SMP;1176
Sumatera Utara;SMP;2606
Sumatera Barat;SMP;833
Riau;SMP;1202
Jambi;SMP;680
Sumatera Selatan;SMP;1362
Bengkulu;SMP;430
Lampung;SMP;1376
Bangka Belitung;SMP;218
Kepulauan Riau;SMP;386
Jakarta Raya;SMP;1127
Jawa Barat;SMP;5456
Jawa Tengah;SMP;3350
Yogyakarta;SMP;446
Jawa Timur;SMP;4774
Banten;SMP;1515
Bali ;SMP;414
Nusa Tenggara Barat;SMP;964
Nusa Tenggara Timur;SMP;1751
Kalimantan Barat;SMP;1336
Kalimantan Tengah;SMP;836
Kalimantan Selatan;SMP;615
Kalimantan Timur;SMP;657
Kalimantan Utara;SMP;183
Sulawesi Utara;SMP;724
Sulawesi Tengah;SMP;849
Sulawesi Selatan;SMP;1676
Sulawesi Tenggara;SMP;767
Gorontalo;SMP;337
Sulawesi Barat;SMP;374
Maluku;SMP;665
Maluku Utara;SMP;493
Papua Barat;SMP;313
Papua;SMP;706
Aceh;SMA;528
Sumatera Utara;SMA;1074
Sumatera Barat;SMA;330
Riau;SMA;448
Jambi;SMA;234
Sumatera Selatan;SMA;592
Bengkulu;SMA;140
Lampung;SMA;504
Bangka Belitung;SMA;69
Kepulauan Riau;SMA;143
Jakarta Raya;SMA;501
Jawa Barat;SMA;1648
Jawa Tengah;SMA;852
Yogyakarta;SMA;166
Jawa Timur;SMA;1523
Banten;SMA;572
Bali ;SMA;160
Nusa Tenggara Barat;SMA;324
Nusa Tenggara Timur;SMA;550
Kalimantan Barat;SMA;446
Kalimantan Tengah;SMA;240
Kalimantan Selatan;SMA;195
Kalimantan Timur;SMA;222
Kalimantan Utara;SMA;62
Sulawesi Utara;SMA;226
Sulawesi Tengah;SMA;225
Sulawesi Selatan;SMA;581
Sulawesi Tenggara;SMA;297
Gorontalo;SMA;67
Sulawesi Barat;SMA;88
Maluku;SMA;282
Maluku Utara;SMA;210
Papua Barat;SMA;124
Papua;SMA;242
Aceh;SMK;217
